Incident energy ; MT=2 : (z,elastic) ; MT=102 : (z,γ)
Incident energy ;  ; 
Incident energy ; σ(E) ; σ(E)
1.0199995965937203 ; 9.071493267102602 ; 0.49405196316593947
1.020234487222063 ; 9.071454195395482 ; 0.49402449994158615
1.0204694319421992 ; 9.071415114690737 ; 0.4939970303928636
1.020704430766585 ; 9.071376024986288 ; 0.4939695545183155
1.02093948370768 ; 9.071336926280066 ; 0.493942072316485
1.0211745907779464 ; 9.071297818569997 ; 0.4939145837859152
1.0214097519898493 ; 9.071258701854008 ; 0.4938870889251484
1.021644967355857 ; 9.071219576130028 ; 0.4938595877327271
1.02188023688844 ; 9.071180441395978 ; 0.4938320802071931
1.0221155606000722 ; 9.071141297649785 ; 0.493804566347088
1.0223509385032303 ; 9.071102144889373 ; 0.4937770461509531
1.0225863706103937 ; 9.071062983112668 ; 0.49374951961732927
1.022821856934045 ; 9.071023812317591 ; 0.493721986744757
