Incident energy ; H2 MT=102 : (z,γ) ; H1 MT=2 : (z,elastic)
Incident energy ;  ; 
Incident energy ; σ(E) ; σ(E)
1.0188259543931268 ; 7.96923583839742E-5 ; 20.690780768326096
1.0190605747492512 ; 7.968437768809731E-5 ; 20.690732173757937
1.019295249134929 ; 7.967639515438571E-5 ; 20.690683567999173
1.0195299775626026 ; 7.966841078241615E-5 ; 20.690634951047237
1.019764760044717 ; 7.966042457176532E-5 ; 20.69058632289954
1.0199995965937203 ; 7.965243652200983E-5 ; 20.690537683553508
1.020234487222063 ; 7.964444663272612E-5 ; 20.690489033006568
1.0204694319421992 ; 7.963645490349059E-5 ; 20.690440371256134
1.020704430766585 ; 7.962846133387954E-5 ; 20.690391698299628
1.02093948370768 ; 7.962046592346913E-5 ; 20.690343014134466
1.0211745907779464 ; 7.961246867183547E-5 ; 20.690294318758074
